Initiator,Recipient,Type
ducdenemours,vidamedechartres,vu
ducdenemours,vidamedechartres,donne
ducdenemours,vidamedechartres,donnait
marguerite,soie,dit
marguerite,soie,regardait
marguerite,soie,voyait
marguerite,soie,vint
marguerite,soie,vu
marguerite,soie,dansait
marguerite,soie,donne
marguerite,soie,donnait
madamedechartres,soie,dit
madamedechartres,soie,regardait
madamedechartres,soie,voyait
madamedechartres,soie,vint
madamedechartres,soie,vu
madamedechartres,soie,rougit
madamedechartres,soie,dansait
madamedechartres,soie,donne
madamedechartres,soie,donnait
elisabeth,vidamedechartres,dit
elisabeth,vidamedechartres,regardait
elisabeth,vidamedechartres,voyait
elisabeth,vidamedechartres,vint
elisabeth,vidamedechartres,vu
elisabeth,vidamedechartres,donne
elisabeth,vidamedechartres,donnait
ducdenemours,cour,dit
ducdenemours,cour,regardait
ducdenemours,cour,voyait
ducdenemours,cour,vint
ducdenemours,cour,vu
ducdenemours,cour,donne
ducdenemours,cour,donnait
princessedecleves,reine,dit
princessedecleves,reine,vint
princessedecleves,reine,vu
princessedecleves,reine,donnait
princessedecleves,reine,voyait
nevers,soie,dit
nevers,soie,regardait
nevers,soie,voyait
nevers,soie,vint
nevers,soie,vu
nevers,soie,rougit
nevers,soie,dansait
nevers,soie,donne
nevers,soie,donnait
navarre,vidamedechartres,dit
navarre,vidamedechartres,regardait
navarre,vidamedechartres,voyait
navarre,vidamedechartres,vint
navarre,vidamedechartres,vu
navarre,vidamedechartres,donne
navarre,vidamedechartres,donnait
ducdenemours,reine,dit
ducdenemours,reine,vint
ducdenemours,reine,vu
ducdenemours,reine,donnait
ducdenemours,reine,voyait
ecuyer,dauphine,dit
ecuyer,dauphine,regardait
ecuyer,dauphine,voyait
ecuyer,dauphine,vint
ecuyer,dauphine,vu
ecuyer,dauphine,donne
ecuyer,dauphine,donnait
monsieurdecleves,reine,dit
monsieurdecleves,reine,vint
monsieurdecleves,reine,vu
monsieurdecleves,reine,donnait
monsieurdecleves,reine,voyait
roi,vidamedechartres,dit
roi,vidamedechartres,regardait
roi,vidamedechartres,voyait
roi,vidamedechartres,vint
roi,vidamedechartres,vu
roi,vidamedechartres,donne
roi,vidamedechartres,donnait
henri,soie,dit
henri,soie,regardait
henri,soie,voyait
henri,soie,vint
henri,soie,vu
henri,soie,rougit
henri,soie,dansait
henri,soie,donne
henri,soie,donnait
roi,dauphine,dit
roi,dauphine,regardait
roi,dauphine,voyait
roi,dauphine,vint
roi,dauphine,vu
roi,dauphine,donne
roi,dauphine,donnait
connetable,soie,dit
connetable,soie,regardait
connetable,soie,voyait
connetable,soie,vint
connetable,soie,vu
connetable,soie,rougit
connetable,soie,dansait
connetable,soie,donne
connetable,soie,donnait
reine,soie,dit
reine,soie,regardait
reine,soie,voyait
reine,soie,vint
reine,soie,vu
reine,soie,rougit
reine,soie,dansait
reine,soie,donne
reine,soie,donnait
monsieurdecleves,dauphine,dit
monsieurdecleves,dauphine,regardait
monsieurdecleves,dauphine,voyait
monsieurdecleves,dauphine,vint
monsieurdecleves,dauphine,vu
monsieurdecleves,dauphine,donne
monsieurdecleves,dauphine,donnait
tournon,soie,dit
tournon,soie,regardait
tournon,soie,voyait
tournon,soie,vint
tournon,soie,vu
tournon,soie,rougit
tournon,soie,dansait
tournon,soie,donne
tournon,soie,donnait
montgomery,soie,dit
montgomery,soie,regardait
montgomery,soie,voyait
montgomery,soie,vint
montgomery,soie,vu
montgomery,soie,donne
montgomery,soie,donnait
dauphin,soie,dit
dauphin,soie,regardait
dauphin,soie,voyait
dauphin,soie,vint
dauphin,soie,vu
dauphin,soie,rougit
dauphin,soie,dansait
dauphin,soie,donne
dauphin,soie,donnait
dauphine,cour,dit
dauphine,cour,vint
dauphine,cour,vu
dauphine,cour,donne
dauphine,cour,donnait
reine,princessedecleves,dit
poitiers,soie,dit
poitiers,soie,regardait
poitiers,soie,voyait
poitiers,soie,vint
poitiers,soie,vu
poitiers,soie,rougit
poitiers,soie,dansait
poitiers,soie,donne
poitiers,soie,donnait
duchessedemercoeur,soie,dit
duchessedemercoeur,soie,regardait
duchessedemercoeur,soie,voyait
duchessedemercoeur,soie,vint
duchessedemercoeur,soie,vu
duchessedemercoeur,soie,donne
duchessedemercoeur,soie,donnait
princessedecleves,vidamedechartres,dit
princessedecleves,vidamedechartres,regardait
princessedecleves,vidamedechartres,voyait
princessedecleves,vidamedechartres,vint
princessedecleves,vidamedechartres,vu
princessedecleves,vidamedechartres,donne
princessedecleves,vidamedechartres,donnait
d'orange,soie,dit
d'orange,soie,regardait
d'orange,soie,voyait
d'orange,soie,vint
d'orange,soie,vu
d'orange,soie,rougit
d'orange,soie,dansait
d'orange,soie,donne
d'orange,soie,donnait
princessedecleves,ducdenemours,dit
valentinois,vidamedechartres,dit
valentinois,vidamedechartres,regardait
valentinois,vidamedechartres,voyait
